City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 587,163194970596; 6
NewOrleans; Houston_NewOrleans_Grey; 449,285246222613; 2
Atlanta; Atlanta_NewOrleans_Yellow; 368,361341665512; 4
Atlanta; Atlanta_NewOrleans_Orange; 368,361341665512; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 983,6448; 3
SanFrancisco; SanFrancisco_SaltLakeCity_Orange; 713,010864240535; 5
SanFrancisco; SanFrancisco_SaltLakeCity_White; 713,010864240535; 5
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 983,6448; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 981,36; 3
LosAngeles; LosAngeles_LasVegas_Grey; 982; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 587,163194970596; 6
NewOrleans; Houston_NewOrleans_Grey; 449,285246222613; 2
Atlanta; Atlanta_NewOrleans_Yellow; 368,361341665512; 4
Atlanta; Atlanta_NewOrleans_Orange; 368,361341665512; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 983,6448; 3
SanFrancisco; SanFrancisco_SaltLakeCity_Orange; 713,010864240535; 5
SanFrancisco; SanFrancisco_SaltLakeCity_White; 713,010864240535; 5
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 983,6448; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 981,36; 3
LosAngeles; LosAngeles_LasVegas_Grey; 982; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 593,31484847358; 6
NewOrleans; Houston_NewOrleans_Grey; 426,390596998502; 2
Atlanta; Atlanta_NewOrleans_Yellow; 407,818038054116; 4
Atlanta; Atlanta_NewOrleans_Orange; 407,818038054116; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 983,6448; 3
SanFrancisco; SanFrancisco_SaltLakeCity_Orange; 731,516914574757; 5
SanFrancisco; SanFrancisco_SaltLakeCity_White; 731,516914574757; 5
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 983,6448; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 981,36; 3
LosAngeles; LosAngeles_LasVegas_Grey; 982; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 593,31484847358; 6
NewOrleans; Houston_NewOrleans_Grey; 426,390596998502; 2
Atlanta; Atlanta_NewOrleans_Yellow; 407,818038054116; 4
Atlanta; Atlanta_NewOrleans_Orange; 407,818038054116; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 983,6448; 3
SanFrancisco; SanFrancisco_SaltLakeCity_Orange; 731,516914574757; 5
SanFrancisco; SanFrancisco_SaltLakeCity_White; 731,516914574757; 5
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 983,6448; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 981,36; 3
LosAngeles; LosAngeles_LasVegas_Grey; 982; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 563,052313570382; 6
NewOrleans; Houston_NewOrleans_Grey; 484,025592525701; 2
Atlanta; Atlanta_NewOrleans_Yellow; 388,198824062619; 4
Atlanta; Atlanta_NewOrleans_Orange; 388,198824062619; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 599,019506685171; 3
SanFrancisco; SanFrancisco_SaltLakeCity_Orange; 746,003730183125; 5
SanFrancisco; SanFrancisco_SaltLakeCity_White; 746,003730183125; 5
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 599,019506685171; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 631,327816141049; 3
LosAngeles; LosAngeles_LasVegas_Grey; 902; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 563,052313570382; 6
NewOrleans; Houston_NewOrleans_Grey; 484,025592525701; 2
Atlanta; Atlanta_NewOrleans_Yellow; 388,198824062619; 4
Atlanta; Atlanta_NewOrleans_Orange; 388,198824062619; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 599,019506685171; 3
SanFrancisco; SanFrancisco_SaltLakeCity_Orange; 746,003730183125; 5
SanFrancisco; SanFrancisco_SaltLakeCity_White; 746,003730183125; 5
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 599,019506685171; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 631,327816141049; 3
LosAngeles; LosAngeles_LasVegas_Grey; 902; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 660,987465846801; 6
NewOrleans; Houston_NewOrleans_Grey; 487,438111585405; 2
Atlanta; Atlanta_NewOrleans_Yellow; 398,521236209423; 4
Atlanta; Atlanta_NewOrleans_Orange; 398,521236209423; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 983,6448; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 981,36; 3
LosAngeles; LosAngeles_LasVegas_Grey; 982; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 660,987465846801; 6
NewOrleans; Houston_NewOrleans_Grey; 487,438111585405; 2
Atlanta; Atlanta_NewOrleans_Yellow; 398,521236209423; 4
Atlanta; Atlanta_NewOrleans_Orange; 398,521236209423; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 983,6448; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 981,36; 3
LosAngeles; LosAngeles_LasVegas_Grey; 982; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 608,065338356378; 6
NewOrleans; Houston_NewOrleans_Grey; 461,424506913077; 2
Atlanta; Atlanta_NewOrleans_Yellow; 374,929159576901; 4
Atlanta; Atlanta_NewOrleans_Orange; 374,929159576901; 4
City; RouteName; RouteValue; Weight
Denver; Helena_Denver_Green; 978,724852393413; 4
Phoenix; Phoenix_Denver_White; 935,138068852294; 5
LosAngeles; Phoenix_LosAngeles_Grey; 1003; 3
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 618,698775764915; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 788,177122100199; 3
LosAngeles; LosAngeles_LasVegas_Grey; 902; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 903; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 903; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 608,065338356378; 6
NewOrleans; Houston_NewOrleans_Grey; 461,424506913077; 2
Atlanta; Atlanta_NewOrleans_Yellow; 374,929159576901; 4
Atlanta; Atlanta_NewOrleans_Orange; 374,929159576901; 4
City; RouteName; RouteValue; Weight
Denver; Helena_Denver_Green; 978,724852393413; 4
Phoenix; Phoenix_Denver_White; 935,138068852294; 5
LosAngeles; Phoenix_LosAngeles_Grey; 1003; 3
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 618,698775764915; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 788,177122100199; 3
LosAngeles; LosAngeles_LasVegas_Grey; 902; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 983; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 983; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
OklahomaCity; ElPaso_OklahomaCity_Yellow; 597,299558857654; 5
LittleRock; OklahomaCity_LittleRock_Grey; 525,090299308316; 2
NewOrleans; LittleRock_NewOrleans_Green; 466,212911973655; 3
Atlanta; Atlanta_NewOrleans_Yellow; 391,836453771786; 4
Atlanta; Atlanta_NewOrleans_Orange; 391,836453771786; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 983; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 983; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Dallas; ElPaso_Dallas_Red; 604,354109499751; 4
LittleRock; LittleRock_Dallas_Grey; 458,560802172026; 2
NewOrleans; LittleRock_NewOrleans_Green; 466,212911973655; 3
Atlanta; Atlanta_NewOrleans_Yellow; 391,836453771786; 4
Atlanta; Atlanta_NewOrleans_Orange; 391,836453771786; 4
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 983; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 983; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
Houston; ElPaso_Houston_Green; 616,689397171438; 6
NewOrleans; Houston_NewOrleans_Grey; 529,908000872793; 2
Atlanta; Atlanta_NewOrleans_Yellow; 391,836453771786; 4
Atlanta; Atlanta_NewOrleans_Orange; 391,836453771786; 4
City; RouteName; RouteValue; Weight
SaltLakeCity; Helena_SaltLakeCity_Purple; 921,14476946357; 3
LasVegas; SaltLakeCity_LasVegas_Orange; 729,101257425393; 3
LosAngeles; LosAngeles_LasVegas_Grey; 902; 2
City; RouteName; RouteValue; Weight
LosAngeles; SanFrancisco_LosAngeles_Yellow; 983; 3
LosAngeles; SanFrancisco_LosAngeles_Purple; 983; 3
ElPaso; LosAngeles_ElPaso_Black; 1000; 6
OklahomaCity; ElPaso_OklahomaCity_Yellow; 597,299558857654; 5
LittleRock; OklahomaCity_LittleRock_Grey; 525,090299308316; 2
