Step_4000;Vancouver;Seattle;Calgary;Portland;Helena;SaltLakeCity;SanFrancisco;LosAngeles;LasVegas;Phoenix;SantaFe;Denver;ElPaso;Winnipeg;Duluth;Omaha;KansasCity;OklahomaCity;Houston;Dallas;LittleRock;SaintLouis;Chicago;SaultStMarie;Toronto;Montreal;Boston;NewYork;Pittsburgh;Washington;Raleigh;Atlanta;Charleston;Miami;NewOrleans;Nashville
Vancouver;;42,5;158,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seattle;60,0;;42,3;137,5;37,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calgary;37,6;30,6;;;307,5;;;;;;;;;74,7;;;;;;;;;;;;;;;;;;;;;;
Portland;;81,9;;;;286,3;190,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helena;;93,7;217,7;;;270,0;;;;;;456,4;;182,9;224,7;368,6;;;;;;;;;;;;;;;;;;;;
SaltLakeCity;;;;209,6;316,2;;210,7;;174,8;;;477,0;;;;;;;;;;;;;;;;;;;;;;;;
SanFrancisco;;;;235,6;;300,8;;104,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LosAngeles;;;;;;;222,2;;144,7;;;;435,1;;;;;;;;;;;;;;;;;;;;;;;
LasVegas;;;;;;334,8;;8,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoenix;;;;;;;;;;;;460,3;449,6;;;;;;;;;;;;;;;;;;;;;;;
SantaFe;;;;;;;;;;;;441,5;557,0;;;;;;;;;;;;;;;;;;;;;;;
Denver;;;;;333,3;405,7;;;;393,7;410,2;;;;;408,6;467,8;556,6;;;;;;;;;;;;;;;;;;
ElPaso;;;;;;;;315,1;;358,5;434,4;;;;;;;543,7;799,3;544,8;;;;;;;;;;;;;;;;
Winnipeg;;;137,5;;214,0;;;;;;;;;;253,5;;;;;;;;;292,4;;;;;;;;;;;;
Duluth;;;;;338,3;;;;;;;;;218,7;;;;;;;;;;;336,0;;;;;;;;;;;
Omaha;;;;;355,0;;;;;;;428,8;;;;;;;;;;;459,6;;;;;;;;;;;;;
KansasCity;;;;;;;;;;;;477,8;;;;;;;;;;593,8;;;;;;;;;;;;;;
OklahomaCity;;;;;;;;;;;;404,8;477,8;;;;;;;;702,3;;;;;;;;;;;;;;;
Houston;;;;;;;;;;;;;508,6;;;;;;;;;;;;;;;;;;;;;;900,9;
Dallas;;;;;;;;;;;;;581,1;;;;;;;;746,2;;;;;;;;;;;;;;;
LittleRock;;;;;;;;;;;;;;;;;;517,9;;647,4;;598,4;;;;;;;;;;;;;903,0;635,4
SaintLouis;;;;;;;;;;;;;;;;;466,8;;;;596,3;;456,6;;;;;;455,0;;;;;;;972,2
Chicago;;;;;;;;;;;;;;;;422,8;;;;;;891,6;;;337,1;;;;441,9;;;;;;;
SaultStMarie;;;;;;;;;;;;;;232,4;;;;;;;;;;;361,1;253,9;;;;;;;;;;
Toronto;;;;;;;;;;;;;;;299,8;;;;;;;;410,6;276,7;;265,8;;;442,5;;;;;;;
Montreal;;;;;;;;;;;;;;;;;;;;;;;;282,1;335,2;;230,5;271,3;;;;;;;;
Boston;;;;;;;;;;;;;;;;;;;;;;;;;;280,3;;249,8;;;;;;;;
NewYork;;;;;;;;;;;;;;;;;;;;;;;;;;290,4;236,4;;;413,3;;;;;;
Pittsburgh;;;;;;;;;;;;;;;;;;;;;;540,9;489,6;;353,1;;;;;423,2;503,5;;;;;
Washington;;;;;;;;;;;;;;;;;;;;;;;;;;;;338,2;424,0;;467,1;;;;;
Raleigh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;428,8;409,4;;;655,6;;;
Atlanta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;660,3;731,4;984,0;661,1
Charleston;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;493,5;789,6;;741,4;;
Miami;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;745,4;614,1;;906,0;
NewOrleans;;;;;;;;;;;;;;;;;;;1000,0;;1000,0;;;;;;;;;;;1000,0;;1000,0;;
Nashville;;;;;;;;;;;;;;;;;;;;;695,6;501,0;;;;;;;;;;923,1;;;;
Step_8000;Vancouver;Seattle;Calgary;Portland;Helena;SaltLakeCity;SanFrancisco;LosAngeles;LasVegas;Phoenix;SantaFe;Denver;ElPaso;Winnipeg;Duluth;Omaha;KansasCity;OklahomaCity;Houston;Dallas;LittleRock;SaintLouis;Chicago;SaultStMarie;Toronto;Montreal;Boston;NewYork;Pittsburgh;Washington;Raleigh;Atlanta;Charleston;Miami;NewOrleans;Nashville
Vancouver;;121,7;192,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seattle;115,8;;150,1;283,7;113,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calgary;98,6;140,0;;;336,4;;;;;;;;;193,2;;;;;;;;;;;;;;;;;;;;;;
Portland;;177,1;;;;349,8;290,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helena;;222,6;249,4;;;307,3;;;;;;493,1;;280,4;341,5;415,9;;;;;;;;;;;;;;;;;;;;
SaltLakeCity;;;;238,4;377,4;;334,2;;313,6;;;476,6;;;;;;;;;;;;;;;;;;;;;;;;
SanFrancisco;;;;243,9;;370,8;;443,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LosAngeles;;;;;;;284,9;;252,9;;;;591,6;;;;;;;;;;;;;;;;;;;;;;;
LasVegas;;;;;;385,5;;373,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoenix;;;;;;;;;;;;416,0;559,7;;;;;;;;;;;;;;;;;;;;;;;
SantaFe;;;;;;;;;;;;509,0;600,7;;;;;;;;;;;;;;;;;;;;;;;
Denver;;;;;346,2;368,0;;;;516,6;510,4;;;;;398,6;495,0;575,3;;;;;;;;;;;;;;;;;;
ElPaso;;;;;;;;539,9;;511,5;506,3;;;;;;;559,2;760,0;596,5;;;;;;;;;;;;;;;;
Winnipeg;;;155,6;;401,8;;;;;;;;;;299,8;;;;;;;;;309,6;;;;;;;;;;;;
Duluth;;;;;402,6;;;;;;;;;327,4;;;;;;;;;;;324,4;;;;;;;;;;;
Omaha;;;;;411,6;;;;;;;502,1;;;;;;;;;;;464,2;;;;;;;;;;;;;
KansasCity;;;;;;;;;;;;479,7;;;;;;;;;;497,8;;;;;;;;;;;;;;
OklahomaCity;;;;;;;;;;;;452,9;591,3;;;;;;;;636,2;;;;;;;;;;;;;;;
Houston;;;;;;;;;;;;;618,9;;;;;;;;;;;;;;;;;;;;;;902,0;
Dallas;;;;;;;;;;;;;593,2;;;;;;;;705,2;;;;;;;;;;;;;;;
LittleRock;;;;;;;;;;;;;;;;;;584,2;;602,2;;536,7;;;;;;;;;;;;;903,0;655,6
SaintLouis;;;;;;;;;;;;;;;;;474,0;;;;688,2;;443,2;;;;;;498,6;;;;;;;632,4
Chicago;;;;;;;;;;;;;;;;429,4;;;;;;487,9;;;408,6;;;;1017,0;;;;;;;
SaultStMarie;;;;;;;;;;;;;;243,9;;;;;;;;;;;409,9;305,4;;;;;;;;;;
Toronto;;;;;;;;;;;;;;;324,0;;;;;;;;434,1;334,8;;314,7;;;437,8;;;;;;;
Montreal;;;;;;;;;;;;;;;;;;;;;;;;298,5;341,4;;304,1;393,2;;;;;;;;
Boston;;;;;;;;;;;;;;;;;;;;;;;;;;320,8;;376,3;;;;;;;;
NewYork;;;;;;;;;;;;;;;;;;;;;;;;;;322,3;308,7;;;434,8;;;;;;
Pittsburgh;;;;;;;;;;;;;;;;;;;;;;502,2;473,7;;378,6;;;;;499,0;1014,0;;;;;
Washington;;;;;;;;;;;;;;;;;;;;;;;;;;;;396,1;493,7;;562,6;;;;;
Raleigh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;453,1;436,6;;;1012,0;;;
Atlanta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;683,0;700,5;904,0;681,0
Charleston;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;542,2;740,8;;1010,0;;
Miami;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;718,9;575,5;;1006,0;
NewOrleans;;;;;;;;;;;;;;;;;;;1000,0;;1000,0;;;;;;;;;;;1000,0;;1000,0;;
Nashville;;;;;;;;;;;;;;;;;;;;;786,5;512,0;;;;;;;;;;727,6;;;;
Step_12000;Vancouver;Seattle;Calgary;Portland;Helena;SaltLakeCity;SanFrancisco;LosAngeles;LasVegas;Phoenix;SantaFe;Denver;ElPaso;Winnipeg;Duluth;Omaha;KansasCity;OklahomaCity;Houston;Dallas;LittleRock;SaintLouis;Chicago;SaultStMarie;Toronto;Montreal;Boston;NewYork;Pittsburgh;Washington;Raleigh;Atlanta;Charleston;Miami;NewOrleans;Nashville
Vancouver;;180,9;295,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seattle;151,9;;237,6;340,6;206,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calgary;176,3;192,3;;;401,8;;;;;;;;;252,5;;;;;;;;;;;;;;;;;;;;;;
Portland;;235,9;;;;395,0;341,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helena;;275,3;312,8;;;396,1;;;;;;512,2;;298,9;353,7;402,0;;;;;;;;;;;;;;;;;;;;
SaltLakeCity;;;;306,1;417,5;;414,2;;389,1;;;497,9;;;;;;;;;;;;;;;;;;;;;;;;
SanFrancisco;;;;281,4;;414,7;;506,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LosAngeles;;;;;;;379,2;;386,2;;;;577,3;;;;;;;;;;;;;;;;;;;;;;;
LasVegas;;;;;;394,6;;498,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoenix;;;;;;;;;;;;483,9;571,0;;;;;;;;;;;;;;;;;;;;;;;
SantaFe;;;;;;;;;;;;507,8;637,7;;;;;;;;;;;;;;;;;;;;;;;
Denver;;;;;335,6;399,9;;;;493,3;497,6;;;;;432,1;480,1;617,6;;;;;;;;;;;;;;;;;;
ElPaso;;;;;;;;462,7;;485,0;516,9;;;;;;;632,0;713,2;620,5;;;;;;;;;;;;;;;;
Winnipeg;;;289,0;;327,1;;;;;;;;;;328,3;;;;;;;;;316,5;;;;;;;;;;;;
Duluth;;;;;357,3;;;;;;;;;316,1;;;;;;;;;;;389,2;;;;;;;;;;;
Omaha;;;;;421,8;;;;;;;516,9;;;;;;;;;;;463,4;;;;;;;;;;;;;
KansasCity;;;;;;;;;;;;486,7;;;;;;;;;;597,2;;;;;;;;;;;;;;
OklahomaCity;;;;;;;;;;;;477,0;616,1;;;;;;;;758,9;;;;;;;;;;;;;;;
Houston;;;;;;;;;;;;;572,6;;;;;;;;;;;;;;;;;;;;;;902,0;
Dallas;;;;;;;;;;;;;595,5;;;;;;;;632,1;;;;;;;;;;;;;;;
LittleRock;;;;;;;;;;;;;;;;;;615,5;;592,0;;543,2;;;;;;;;;;;;;1003,0;610,6
SaintLouis;;;;;;;;;;;;;;;;;474,6;;;;914,3;;451,9;;;;;;485,4;;;;;;;631,6
Chicago;;;;;;;;;;;;;;;;463,0;;;;;;891,4;;;366,8;;;;472,7;;;;;;;
SaultStMarie;;;;;;;;;;;;;;314,2;;;;;;;;;;;320,4;299,6;;;;;;;;;;
Toronto;;;;;;;;;;;;;;;323,6;;;;;;;;441,7;288,4;;292,8;;;462,8;;;;;;;
Montreal;;;;;;;;;;;;;;;;;;;;;;;;306,1;361,8;;301,8;323,8;;;;;;;;
Boston;;;;;;;;;;;;;;;;;;;;;;;;;;303,4;;343,4;;;;;;;;
NewYork;;;;;;;;;;;;;;;;;;;;;;;;;;305,7;298,0;;;409,6;;;;;;
Pittsburgh;;;;;;;;;;;;;;;;;;;;;;554,1;481,5;;395,2;;;;;397,7;539,9;;;;;
Washington;;;;;;;;;;;;;;;;;;;;;;;;;;;;322,3;428,2;;435,4;;;;;
Raleigh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;455,2;398,9;;;632,2;;;
Atlanta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;687,5;731,9;904,0;632,3
Charleston;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;537,9;731,3;;770,3;;
Miami;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700,5;667,4;;906,0;
NewOrleans;;;;;;;;;;;;;;;;;;;1000,0;;1000,0;;;;;;;;;;;1000,0;;1000,0;;
Nashville;;;;;;;;;;;;;;;;;;;;;627,9;516,2;;;;;;;;;;705,0;;;;
Step_16000;Vancouver;Seattle;Calgary;Portland;Helena;SaltLakeCity;SanFrancisco;LosAngeles;LasVegas;Phoenix;SantaFe;Denver;ElPaso;Winnipeg;Duluth;Omaha;KansasCity;OklahomaCity;Houston;Dallas;LittleRock;SaintLouis;Chicago;SaultStMarie;Toronto;Montreal;Boston;NewYork;Pittsburgh;Washington;Raleigh;Atlanta;Charleston;Miami;NewOrleans;Nashville
Vancouver;;207,9;293,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seattle;215,2;;260,6;340,8;312,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calgary;206,0;211,2;;;365,4;;;;;;;;;277,7;;;;;;;;;;;;;;;;;;;;;;
Portland;;254,8;;;;404,3;403,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helena;;270,9;322,2;;;395,8;;;;;;462,6;;289,6;332,2;417,1;;;;;;;;;;;;;;;;;;;;
SaltLakeCity;;;;338,0;405,1;;439,8;;384,2;;;499,0;;;;;;;;;;;;;;;;;;;;;;;;
SanFrancisco;;;;360,3;;412,9;;512,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LosAngeles;;;;;;;421,6;;409,3;;;;555,0;;;;;;;;;;;;;;;;;;;;;;;
LasVegas;;;;;;412,6;;498,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoenix;;;;;;;;;;;;476,0;582,3;;;;;;;;;;;;;;;;;;;;;;;
SantaFe;;;;;;;;;;;;447,2;587,1;;;;;;;;;;;;;;;;;;;;;;;
Denver;;;;;418,3;413,6;;;;466,7;536,1;;;;;398,4;465,1;581,0;;;;;;;;;;;;;;;;;;
ElPaso;;;;;;;;500,1;;494,5;507,5;;;;;;;625,8;675,4;638,7;;;;;;;;;;;;;;;;
