Step_4000;Vancouver;Seattle;Calgary;Portland;Helena;SaltLakeCity;SanFrancisco;LosAngeles;LasVegas;Phoenix;SantaFe;Denver;ElPaso;Winnipeg;Duluth;Omaha;KansasCity;OklahomaCity;Houston;Dallas;LittleRock;SaintLouis;Chicago;SaultStMarie;Toronto;Montreal;Boston;NewYork;Pittsburgh;Washington;Raleigh;Atlanta;Charleston;Miami;NewOrleans;Nashville
Vancouver;;518,8;446,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seattle;443,9;;460,6;619,6;492,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calgary;458,5;496,5;;;513,6;;;;;;;;;427,8;;;;;;;;;;;;;;;;;;;;;;
Portland;;484,8;;;;662,5;792,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helena;;489,0;434,6;;;976,5;;;;;;546,8;;446,7;424,5;479,9;;;;;;;;;;;;;;;;;;;;
SaltLakeCity;;;;571,9;519,1;;928,5;;711,8;;;539,5;;;;;;;;;;;;;;;;;;;;;;;;
SanFrancisco;;;;601,0;;672,8;;983,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LosAngeles;;;;;;;1000,0;;1000,0;1000,0;;;1000,0;;;;;;;;;;;;;;;;;;;;;;;
LasVegas;;;;;;627,5;;902,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoenix;;;;;;;;903,0;;;612,6;563,1;704,0;;;;;;;;;;;;;;;;;;;;;;;
SantaFe;;;;;;;;;;727,0;;564,5;687,8;;;;;532,8;;;;;;;;;;;;;;;;;;
Denver;;;;;498,9;617,1;;;;671,1;583,6;;;;;512,9;495,1;597,4;;;;;;;;;;;;;;;;;;
ElPaso;;;;;;;;906,0;;787,4;635,9;;;;;;;574,7;563,3;584,4;;;;;;;;;;;;;;;;
Winnipeg;;;449,6;;574,0;;;;;;;;;;436,9;;;;;;;;;361,3;;;;;;;;;;;;
Duluth;;;;;524,3;;;;;;;;;424,9;;464,3;;;;;;;368,3;369,7;376,3;;;;;;;;;;;
Omaha;;;;;491,1;;;;;;;578,3;;;427,3;;;;;;;;396,8;;;;;;;;;;;;;
KansasCity;;;;;;;;;;;;545,2;;;;;;573,2;;;;426,3;;;;;;;;;;;;;;
OklahomaCity;;;;;;;;;;;654,4;597,5;739,8;;;;474,7;;;639,3;505,0;;;;;;;;;;;;;;;
Houston;;;;;;;;;;;;;734,3;;;;;;;597,0;;;;;;;;;;;;;;;459,0;
Dallas;;;;;;;;;;;;;754,7;;;;;628,4;541,1;;500,9;;;;;;;;;;;;;;;
LittleRock;;;;;;;;;;;;;;;;;;595,3;;571,8;;425,6;;;;;;;;;;;;;469,8;397,8
SaintLouis;;;;;;;;;;;;;;;;;489,5;;;;493,3;;408,4;;;;;;355,8;;;;;;;390,6
Chicago;;;;;;;;;;;;;;;429,7;463,5;;;;;;400,9;;;346,7;;;;346,0;;;;;;;
SaultStMarie;;;;;;;;;;;;;;415,9;386,2;;;;;;;;;;377,3;318,0;;;;;;;;;;
Toronto;;;;;;;;;;;;;;;423,2;;;;;;;;376,9;375,6;;320,8;;;344,2;;;;;;;
Montreal;;;;;;;;;;;;;;;;;;;;;;;;366,5;329,1;;334,6;338,8;;;;;;;;
Boston;;;;;;;;;;;;;;;;;;;;;;;;;;339,9;;335,7;;;;;;;;
NewYork;;;;;;;;;;;;;;;;;;;;;;;;;;348,8;343,9;;352,3;342,5;;;;;;
Pittsburgh;;;;;;;;;;;;;;;;;;;;;;375,7;377,9;;377,1;;;329,0;;368,6;358,6;;;;;392,1
Washington;;;;;;;;;;;;;;;;;;;;;;;;;;;;348,4;363,4;;362,5;;;;;
Raleigh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;357,7;365,1;;398,1;393,8;;;385,1
Atlanta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;372,0;;394,5;419,2;487,9;403,1
Charleston;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;407,5;401,8;;427,5;;
Miami;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;439,0;420,7;;465,6;
NewOrleans;;;;;;;;;;;;;;;;;;;528,8;;444,3;;;;;;;;;;;386,3;;441,9;;
Nashville;;;;;;;;;;;;;;;;;;;;;471,4;401,6;;;;;;;361,5;;370,5;402,1;;;;
Step_8000;Vancouver;Seattle;Calgary;Portland;Helena;SaltLakeCity;SanFrancisco;LosAngeles;LasVegas;Phoenix;SantaFe;Denver;ElPaso;Winnipeg;Duluth;Omaha;KansasCity;OklahomaCity;Houston;Dallas;LittleRock;SaintLouis;Chicago;SaultStMarie;Toronto;Montreal;Boston;NewYork;Pittsburgh;Washington;Raleigh;Atlanta;Charleston;Miami;NewOrleans;Nashville
Vancouver;;495,7;441,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seattle;431,9;;442,7;611,4;512,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calgary;444,1;503,9;;;490,8;;;;;;;;;444,5;;;;;;;;;;;;;;;;;;;;;;
Portland;;489,5;;;;626,0;664,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helena;;480,9;434,7;;;1008,0;;;;;;617,1;;443,6;424,7;443,2;;;;;;;;;;;;;;;;;;;;
SaltLakeCity;;;;583,2;524,8;;689,0;;1005,0;;;576,3;;;;;;;;;;;;;;;;;;;;;;;;
SanFrancisco;;;;622,3;;604,8;;903,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LosAngeles;;;;;;;1000,0;;1000,0;1000,0;;;1000,0;;;;;;;;;;;;;;;;;;;;;;;
LasVegas;;;;;;632,1;;1002,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoenix;;;;;;;;903,0;;;638,9;572,3;761,4;;;;;;;;;;;;;;;;;;;;;;;
SantaFe;;;;;;;;;;703,3;;615,4;700,0;;;;;636,1;;;;;;;;;;;;;;;;;;
Denver;;;;;519,4;641,2;;;;740,3;619,2;;;;;465,4;493,0;531,4;;;;;;;;;;;;;;;;;;
ElPaso;;;;;;;;906,0;;694,3;611,1;;;;;;;543,2;594,1;591,1;;;;;;;;;;;;;;;;
Winnipeg;;;443,2;;542,5;;;;;;;;;;398,1;;;;;;;;;373,7;;;;;;;;;;;;
Duluth;;;;;489,5;;;;;;;;;432,0;;459,3;;;;;;;379,3;371,7;362,3;;;;;;;;;;;
Omaha;;;;;441,0;;;;;;;575,5;;;421,1;;;;;;;;377,8;;;;;;;;;;;;;
KansasCity;;;;;;;;;;;;582,8;;;;;;532,6;;;;433,2;;;;;;;;;;;;;;
OklahomaCity;;;;;;;;;;;569,1;586,3;674,1;;;;484,5;;;585,5;481,6;;;;;;;;;;;;;;;
Houston;;;;;;;;;;;;;745,9;;;;;;;607,1;;;;;;;;;;;;;;;414,8;
Dallas;;;;;;;;;;;;;715,6;;;;;580,9;574,7;;519,0;;;;;;;;;;;;;;;
LittleRock;;;;;;;;;;;;;;;;;;609,3;;569,7;;415,2;;;;;;;;;;;;;450,6;409,0
SaintLouis;;;;;;;;;;;;;;;;;466,8;;;;452,8;;400,9;;;;;;364,6;;;;;;;411,2
Chicago;;;;;;;;;;;;;;;432,6;477,7;;;;;;408,3;;;365,8;;;;354,4;;;;;;;
SaultStMarie;;;;;;;;;;;;;;406,0;413,0;;;;;;;;;;362,8;340,1;;;;;;;;;;
Toronto;;;;;;;;;;;;;;;403,7;;;;;;;;397,5;388,6;;321,2;;;345,5;;;;;;;
Montreal;;;;;;;;;;;;;;;;;;;;;;;;375,1;343,5;;305,4;324,9;;;;;;;;
Boston;;;;;;;;;;;;;;;;;;;;;;;;;;319,4;;322,2;;;;;;;;
NewYork;;;;;;;;;;;;;;;;;;;;;;;;;;343,3;329,4;;343,5;337,0;;;;;;
Pittsburgh;;;;;;;;;;;;;;;;;;;;;;412,8;395,8;;373,0;;;320,0;;338,3;358,2;;;;;389,3
Washington;;;;;;;;;;;;;;;;;;;;;;;;;;;;348,4;361,9;;354,0;;;;;
Raleigh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;356,6;350,8;;425,8;391,0;;;385,1
Atlanta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;376,7;;386,3;408,6;514,8;414,7
Charleston;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;391,1;401,8;;421,9;;
Miami;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;429,8;401,6;;446,6;
NewOrleans;;;;;;;;;;;;;;;;;;;597,6;;451,0;;;;;;;;;;;411,0;;420,4;;
Nashville;;;;;;;;;;;;;;;;;;;;;471,0;430,3;;;;;;;349,8;;371,6;432,8;;;;
Step_12000;Vancouver;Seattle;Calgary;Portland;Helena;SaltLakeCity;SanFrancisco;LosAngeles;LasVegas;Phoenix;SantaFe;Denver;ElPaso;Winnipeg;Duluth;Omaha;KansasCity;OklahomaCity;Houston;Dallas;LittleRock;SaintLouis;Chicago;SaultStMarie;Toronto;Montreal;Boston;NewYork;Pittsburgh;Washington;Raleigh;Atlanta;Charleston;Miami;NewOrleans;Nashville
Vancouver;;480,4;447,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seattle;436,6;;442,2;689,1;520,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calgary;440,2;537,8;;;520,4;;;;;;;;;448,6;;;;;;;;;;;;;;;;;;;;;;
Portland;;520,6;;;;679,8;745,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helena;;562,6;464,7;;;925,3;;;;;;572,6;;415,2;448,8;481,9;;;;;;;;;;;;;;;;;;;;
SaltLakeCity;;;;643,6;539,5;;984,3;;679,6;;;583,5;;;;;;;;;;;;;;;;;;;;;;;;
SanFrancisco;;;;666,3;;663,8;;983,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
