Step_4000;Vancouver;Seattle;Calgary;Portland;Helena;SaltLakeCity;SanFrancisco;LosAngeles;LasVegas;Phoenix;SantaFe;Denver;ElPaso;Winnipeg;Duluth;Omaha;KansasCity;OklahomaCity;Houston;Dallas;LittleRock;SaintLouis;Chicago;SaultStMarie;Toronto;Montreal;Boston;NewYork;Pittsburgh;Washington;Raleigh;Atlanta;Charleston;Miami;NewOrleans;Nashville
Vancouver;;327,3;334,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seattle;298,4;;315,3;352,9;377,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calgary;293,5;347,8;;;419,5;;;;;;;;;353,9;;;;;;;;;;;;;;;;;;;;;;
Portland;;324,1;;;;879,7;366,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helena;;334,1;323,8;;;410,6;;;;;;456,1;;333,1;337,2;492,0;;;;;;;;;;;;;;;;;;;;
SaltLakeCity;;;;356,0;386,3;;361,2;;360,4;;;972,9;;;;;;;;;;;;;;;;;;;;;;;;
SanFrancisco;;;;356,8;;386,4;;408,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LosAngeles;;;;;;;374,4;;361,4;;;;525,8;;;;;;;;;;;;;;;;;;;;;;;
LasVegas;;;;;;401,4;;384,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoenix;;;;;;;;;;;;468,6;425,2;;;;;;;;;;;;;;;;;;;;;;;
SantaFe;;;;;;;;;;;;467,9;492,3;;;;;;;;;;;;;;;;;;;;;;;
Denver;;;;;375,2;494,2;;;;416,0;455,0;;;;;467,5;908,5;547,8;;;;;;;;;;;;;;;;;;
ElPaso;;;;;;;;416,7;;434,5;439,5;;;;;;;554,5;542,9;552,8;;;;;;;;;;;;;;;;
Winnipeg;;;334,4;;422,8;;;;;;;;;;337,7;;;;;;;;;;;;;;;;;;;;;
Duluth;;;;;381,7;;;;;;;;;325,3;;;;;;;;;;;;;;;;;;;;;;
Omaha;;;;;393,5;;;;;;;515,4;;;;;;;;;;;560,5;;;;;;;;;;;;;
KansasCity;;;;;;;;;;;;562,6;;;;;;;;;;980,4;;;;;;;;;;;;;;
OklahomaCity;;;;;;;;;;;;437,7;500,2;;;;;;;;669,5;;;;;;;;;;;;;;;
Houston;;;;;;;;;;;;;490,7;;;;;;;;;;;;;;;;;;;;;;606,8;
Dallas;;;;;;;;;;;;;476,7;;;;;;;;662,3;;;;;;;;;;;;;;;
LittleRock;;;;;;;;;;;;;;;;;;567,2;;569,2;;637,3;;;;;;;;;;;;;560,1;903,0
SaintLouis;;;;;;;;;;;;;;;;;556,8;;;;675,4;;601,7;;;;;;599,0;;;;;;;982,0
Chicago;;;;;;;;;;;;;;;;451,7;;;;;;655,6;;;490,0;;;;540,0;;;;;;;
SaultStMarie;;;;;;;;;;;;;;;;;;;;;;;;;403,5;199,6;;;;;;;;;;
Toronto;;;;;;;;;;;;;;;;;;;;;;;543,6;257,8;;307,5;;;592,4;;;;;;;
Montreal;;;;;;;;;;;;;;;;;;;;;;;;150,4;452,2;;125,7;137,7;;;;;;;;
Boston;;;;;;;;;;;;;;;;;;;;;;;;;;243,5;;142,7;;;;;;;;
NewYork;;;;;;;;;;;;;;;;;;;;;;;;;;75,7;122,2;;;408,7;;;;;;
Pittsburgh;;;;;;;;;;;;;;;;;;;;;;727,8;566,4;;444,3;;;;;388,4;422,7;;;;;
Washington;;;;;;;;;;;;;;;;;;;;;;;;;;;;263,0;516,5;;357,5;;;;;
Raleigh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;583,8;386,4;;;372,4;;;
Atlanta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;481,3;536,4;555,2;901,0
Charleston;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;303,2;560,3;;297,5;;
Miami;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;690,3;429,8;;585,0;
NewOrleans;;;;;;;;;;;;;;;;;;;548,1;;647,2;;;;;;;;;;;674,6;;569,4;;
Nashville;;;;;;;;;;;;;;;;;;;;;1000,0;1000,0;;;;;;;;;;1000,0;;;;
Step_8000;Vancouver;Seattle;Calgary;Portland;Helena;SaltLakeCity;SanFrancisco;LosAngeles;LasVegas;Phoenix;SantaFe;Denver;ElPaso;Winnipeg;Duluth;Omaha;KansasCity;OklahomaCity;Houston;Dallas;LittleRock;SaintLouis;Chicago;SaultStMarie;Toronto;Montreal;Boston;NewYork;Pittsburgh;Washington;Raleigh;Atlanta;Charleston;Miami;NewOrleans;Nashville
Vancouver;;327,6;318,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seattle;300,2;;346,0;347,3;363,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calgary;308,9;330,6;;;403,4;;;;;;;;;368,8;;;;;;;;;;;;;;;;;;;;;;
Portland;;319,1;;;;975,5;348,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helena;;328,9;349,0;;;404,7;;;;;;437,6;;350,0;379,4;469,6;;;;;;;;;;;;;;;;;;;;
SaltLakeCity;;;;350,5;407,2;;352,4;;361,4;;;892,9;;;;;;;;;;;;;;;;;;;;;;;;
SanFrancisco;;;;358,3;;373,3;;373,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LosAngeles;;;;;;;354,2;;359,9;;;;499,8;;;;;;;;;;;;;;;;;;;;;;;
LasVegas;;;;;;399,0;;397,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoenix;;;;;;;;;;;;463,5;476,9;;;;;;;;;;;;;;;;;;;;;;;
SantaFe;;;;;;;;;;;;480,0;505,0;;;;;;;;;;;;;;;;;;;;;;;
Denver;;;;;366,5;390,9;;;;441,2;450,9;;;;;463,8;1008,0;525,8;;;;;;;;;;;;;;;;;;
ElPaso;;;;;;;;397,4;;452,9;448,3;;;;;;;542,2;540,2;606,0;;;;;;;;;;;;;;;;
Winnipeg;;;328,3;;416,2;;;;;;;;;;349,7;;;;;;;;;;;;;;;;;;;;;
Duluth;;;;;409,3;;;;;;;;;346,6;;;;;;;;;;;;;;;;;;;;;;
Omaha;;;;;417,2;;;;;;;476,3;;;;;;;;;;;574,8;;;;;;;;;;;;;
KansasCity;;;;;;;;;;;;492,8;;;;;;;;;;1004,0;;;;;;;;;;;;;;
OklahomaCity;;;;;;;;;;;;458,6;478,6;;;;;;;;657,1;;;;;;;;;;;;;;;
Houston;;;;;;;;;;;;;484,6;;;;;;;;;;;;;;;;;;;;;;611,7;
Dallas;;;;;;;;;;;;;487,7;;;;;;;;692,0;;;;;;;;;;;;;;;
LittleRock;;;;;;;;;;;;;;;;;;564,4;;631,2;;662,4;;;;;;;;;;;;;592,6;903,0
SaintLouis;;;;;;;;;;;;;;;;;620,4;;;;716,3;;536,6;;;;;;572,8;;;;;;;982,0
Chicago;;;;;;;;;;;;;;;;456,5;;;;;;716,1;;;438,6;;;;528,1;;;;;;;
SaultStMarie;;;;;;;;;;;;;;;;;;;;;;;;;449,3;295,0;;;;;;;;;;
Toronto;;;;;;;;;;;;;;;;;;;;;;;600,9;394,0;;342,6;;;546,2;;;;;;;
Montreal;;;;;;;;;;;;;;;;;;;;;;;;364,7;492,6;;281,4;239,6;;;;;;;;
Boston;;;;;;;;;;;;;;;;;;;;;;;;;;365,0;;197,2;;;;;;;;
NewYork;;;;;;;;;;;;;;;;;;;;;;;;;;204,9;208,6;;;449,8;;;;;;
Pittsburgh;;;;;;;;;;;;;;;;;;;;;;704,4;526,2;;511,5;;;;;437,9;534,8;;;;;
Washington;;;;;;;;;;;;;;;;;;;;;;;;;;;;344,3;564,6;;460,5;;;;;
Raleigh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;562,3;481,3;;;624,1;;;
Atlanta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;567,8;551,5;645,7;901,0
Charleston;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;502,4;696,1;;585,7;;
Miami;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;574,6;538,4;;616,8;
NewOrleans;;;;;;;;;;;;;;;;;;;498,9;;690,0;;;;;;;;;;;697,8;;558,1;;
Nashville;;;;;;;;;;;;;;;;;;;;;1000,0;1000,0;;;;;;;;;;1000,0;;;;
