Step_4000;Vancouver;Seattle;Calgary;Portland;Helena;SaltLakeCity;SanFrancisco;LosAngeles;LasVegas;Phoenix;SantaFe;Denver;ElPaso;Winnipeg;Duluth;Omaha;KansasCity;OklahomaCity;Houston;Dallas;LittleRock;SaintLouis;Chicago;SaultStMarie;Toronto;Montreal;Boston;NewYork;Pittsburgh;Washington;Raleigh;Atlanta;Charleston;Miami;NewOrleans;Nashville
Vancouver;;253,9;209,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seattle;204,9;;235,7;274,3;355,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calgary;179,8;214,2;;;329,0;;;;;;;;;186,6;;;;;;;;;;;;;;;;;;;;;;
Portland;;282,4;;;;372,8;361,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helena;;231,9;191,7;;;344,6;;;;;;423,6;;198,8;297,7;333,4;;;;;;;;;;;;;;;;;;;;
SaltLakeCity;;;;289,0;316,3;;332,0;;352,7;;;429,2;;;;;;;;;;;;;;;;;;;;;;;;
SanFrancisco;;;;332,0;;354,4;;1021,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LosAngeles;;;;;;;364,8;;365,4;404,4;;;1018,0;;;;;;;;;;;;;;;;;;;;;;;
LasVegas;;;;;;352,0;;384,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoenix;;;;;;;;395,3;;;421,2;390,5;456,9;;;;;;;;;;;;;;;;;;;;;;;
SantaFe;;;;;;;;;;369,8;;392,0;476,0;;;;;518,5;;;;;;;;;;;;;;;;;;
Denver;;;;;307,1;358,2;;;;392,0;436,5;;;;;373,4;425,4;482,8;;;;;;;;;;;;;;;;;;
ElPaso;;;;;;;;410,0;;414,3;438,4;;;;;;;487,9;1012,0;505,1;;;;;;;;;;;;;;;;
Winnipeg;;;142,9;;290,2;;;;;;;;;;250,4;;;;;;;;;103,2;;;;;;;;;;;;
Duluth;;;;;242,0;;;;;;;;;147,3;;235,9;;;;;;;456,7;159,3;143,1;;;;;;;;;;;
Omaha;;;;;256,5;;;;;;;372,7;;;289,4;;;;;;;;454,2;;;;;;;;;;;;;
